station_name,latitude,longitude,sensor_id,station_id,pollutant,pollutant_symbol,pollutant_code,pollutant_id
"Wrocław, ul. Bartnicza",51.115933,17.141125,642,114,dwutlenek azotu,NO2,NO2,6
"Wrocław, ul. Bartnicza",51.115933,17.141125,644,114,ozon,O3,O3,5
"Wrocław, wyb. Conrada-Korzeniowskiego",51.129378,17.029250,672,117,dwutlenek siarki,SO2,SO2,1
"Wrocław, wyb. Conrada-Korzeniowskiego",51.129378,17.029250,658,117,benzen,C6H6,C6H6,10
"Wrocław, wyb. Conrada-Korzeniowskiego",51.129378,17.029250,660,117,tlenek węgla,CO,CO,8
"Wrocław, wyb. Conrada-Korzeniowskiego",51.129378,17.029250,665,117,dwutlenek azotu,NO2,NO2,6
"Wrocław, wyb. Conrada-Korzeniowskiego",51.129378,17.029250,667,117,ozon,O3,O3,5
"Wrocław, wyb. Conrada-Korzeniowskiego",51.129378,17.029250,670,117,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Wrocław, wyb. Conrada-Korzeniowskiego",51.129378,17.029250,14395,117,pył zawieszony PM10,PM10,PM10,3
"Legnica, al. Rzeczypospolitej",51.204503,16.180513,282,52,benzen,C6H6,C6H6,10
"Legnica, al. Rzeczypospolitej",51.204503,16.180513,285,52,tlenek węgla,CO,CO,8
"Legnica, al. Rzeczypospolitej",51.204503,16.180513,291,52,dwutlenek azotu,NO2,NO2,6
"Legnica, al. Rzeczypospolitej",51.204503,16.180513,293,52,ozon,O3,O3,5
"Legnica, al. Rzeczypospolitej",51.204503,16.180513,297,52,dwutlenek siarki,SO2,SO2,1
"Legnica, al. Rzeczypospolitej",51.204503,16.180513,14397,52,pył zawieszony PM10,PM10,PM10,3
"Wałbrzych, ul. Wysockiego",50.768729,16.269677,605,109,benzen,C6H6,C6H6,10
"Wałbrzych, ul. Wysockiego",50.768729,16.269677,608,109,tlenek węgla,CO,CO,8
"Wałbrzych, ul. Wysockiego",50.768729,16.269677,614,109,dwutlenek azotu,NO2,NO2,6
"Wałbrzych, ul. Wysockiego",50.768729,16.269677,616,109,ozon,O3,O3,5
"Wałbrzych, ul. Wysockiego",50.768729,16.269677,618,109,pył zawieszony PM10,PM10,PM10,3
"Wałbrzych, ul. Wysockiego",50.768729,16.269677,621,109,dwutlenek siarki,SO2,SO2,1
Czerniawa,50.912475,15.312190,50,11,dwutlenek azotu,NO2,NO2,6
Czerniawa,50.912475,15.312190,52,11,ozon,O3,O3,5
Czerniawa,50.912475,15.312190,54,11,pył zawieszony PM10,PM10,PM10,3
"Dzierżoniów, ul. Piłsudskiego",50.732817,16.648050,101,16,pył zawieszony PM10,PM10,PM10,3
"Kłodzko, ul. Szkolna",50.433493,16.653660,221,38,dwutlenek azotu,NO2,NO2,6
"Kłodzko, ul. Szkolna",50.433493,16.653660,223,38,ozon,O3,O3,5
"Kłodzko, ul. Szkolna",50.433493,16.653660,224,38,pył zawieszony PM10,PM10,PM10,3
"Kłodzko, ul. Szkolna",50.433493,16.653660,25988,38,pył zawieszony PM2.5,PM2.5,PM2.5,69
Osieczów,51.317630,15.431719,441,74,dwutlenek azotu,NO2,NO2,6
Osieczów,51.317630,15.431719,444,74,ozon,O3,O3,5
Osieczów,51.317630,15.431719,450,74,dwutlenek siarki,SO2,SO2,1
Śnieżka,50.736389,15.739722,493,84,ozon,O3,O3,5
"Zgorzelec, ul. Bohaterów Getta",51.150391,15.008175,14735,134,benzen,C6H6,C6H6,10
"Jelenia Góra, ul. Ogińskiego",50.913433,15.765608,14727,9153,dwutlenek azotu,NO2,NO2,6
"Jelenia Góra, ul. Ogińskiego",50.913433,15.765608,14729,9153,ozon,O3,O3,5
"Jelenia Góra, ul. Ogińskiego",50.913433,15.765608,14730,9153,pył zawieszony PM10,PM10,PM10,3
"Jelenia Góra, ul. Ogińskiego",50.913433,15.765608,14731,9153,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Jelenia Góra, ul. Ogińskiego",50.913433,15.765608,14733,9153,dwutlenek siarki,SO2,SO2,1
"Jelenia Góra, ul. Ogińskiego",50.913433,15.765608,14734,9153,benzen,C6H6,C6H6,10
"Jelenia Góra, ul. Ogińskiego",50.913433,15.765608,14707,9153,tlenek węgla,CO,CO,8
"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,20210,11254,pył zawieszony PM10,PM10,PM10,3
"Trzebnica, ul. 3 Maja",51.304817,17.071367,21368,11934,dwutlenek azotu,NO2,NO2,6
"Trzebnica, ul. 3 Maja",51.304817,17.071367,21370,11934,pył zawieszony PM10,PM10,PM10,3
"Trzebnica, ul. 3 Maja",51.304817,17.071367,21371,11934,ozon,O3,O3,5
"Lwówek Śląski, al. Wojska Polskiego",51.113033,15.585239,21635,12054,pył zawieszony PM10,PM10,PM10,3
"Lwówek Śląski, al. Wojska Polskiego",51.113033,15.585239,21657,12054,pył zawieszony PM2.5,PM2.5,PM2.5,69
Strzegom,50.969633,16.348469,29112,12055,dwutlenek azotu,NO2,NO2,6
Strzegom,50.969633,16.348469,21628,12055,ozon,O3,O3,5
Strzegom,50.969633,16.348469,21636,12055,pył zawieszony PM10,PM10,PM10,3
Polanica-Zdrój al. Zwycięzców,50.398834,16.513855,29149,17478,pył zawieszony PM10,PM10,PM10,3
Polanica-Zdrój al. Zwycięzców,50.398834,16.513855,21658,17478,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Bydgoszcz, pl. Poznański",53.121764,17.987906,949,156,benzen,C6H6,C6H6,10
"Bydgoszcz, pl. Poznański",53.121764,17.987906,952,156,tlenek węgla,CO,CO,8
"Bydgoszcz, pl. Poznański",53.121764,17.987906,959,156,dwutlenek azotu,NO2,NO2,6
"Bydgoszcz, pl. Poznański",53.121764,17.987906,965,156,pył zawieszony PM10,PM10,PM10,3
"Bydgoszcz, pl. Poznański",53.121764,17.987906,966,156,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Bydgoszcz, ul. Warszawska",53.134083,17.995708,991,158,dwutlenek azotu,NO2,NO2,6
"Bydgoszcz, ul. Warszawska",53.134083,17.995708,993,158,ozon,O3,O3,5
"Bydgoszcz, ul. Warszawska",53.134083,17.995708,995,158,pył zawieszony PM10,PM10,PM10,3
"Bydgoszcz, ul. Warszawska",53.134083,17.995708,996,158,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Bydgoszcz, ul. Warszawska",53.134083,17.995708,998,158,dwutlenek siarki,SO2,SO2,1
"Łódź, ul. Czernika",51.758050,19.529786,2064,295,dwutlenek azotu,NO2,NO2,6
"Łódź, ul. Czernika",51.758050,19.529786,2066,295,ozon,O3,O3,5
"Łódź, ul. Czernika",51.758050,19.529786,2069,295,pył zawieszony PM10,PM10,PM10,3
"Łódź, ul. Czernika",51.758050,19.529786,2071,295,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Łódź, ul. Gdańska",51.775378,19.450992,2088,296,dwutlenek siarki,SO2,SO2,1
"Łódź, ul. Gdańska",51.775378,19.450992,2087,296,pył zawieszony PM10,PM10,PM10,3
"Łódź, ul. Gdańska",51.775378,19.450992,2079,296,benzen,C6H6,C6H6,10
"Łódź, ul. Gdańska",51.775378,19.450992,2083,296,dwutlenek azotu,NO2,NO2,6
"Pabianice, ul. Konstantynowska",51.667981,19.368683,2199,314,pył zawieszony PM10,PM10,PM10,3
"Pabianice, ul. Konstantynowska",51.667981,19.368683,2195,314,dwutlenek azotu,NO2,NO2,6
"Pabianice, ul. Konstantynowska",51.667981,19.368683,2197,314,ozon,O3,O3,5
"Zgierz, ul. Mielczarskiego",51.856692,19.421231,2370,355,tlenek węgla,CO,CO,8
"Zgierz, ul. Mielczarskiego",51.856692,19.421231,2373,355,dwutlenek azotu,NO2,NO2,6
